Year,Month,Day,Hour,Minute,Hour,Minute,Hour,Minute,Hour,Minute,Flux
2010,6,1,0,0,0,0,0,0,0,0,5.76E-08
2010,7,29,6,12,6,12,6,12,6,12,1.70E-07
2010,9,27,21,58,21,58,21,58,21,58,6.20E-07
2010,12,1,4,6,4,6,4,6,4,6,2.12E-07
2011,1,9,21,42,21,42,21,42,21,42,9.17E-08
2011,2,1,21,40,21,40,21,40,21,40,6.54E-08
2011,4,9,20,16,20,16,20,16,20,16,3.38E-07
2011,5,19,4,44,4,44,4,44,4,44,3.07E-07
2011,6,29,4,10,4,10,4,10,4,10,1.76E-07
2011,7,22,3,56,3,56,3,56,3,56,1.94E-07
2011,10,23,20,46,20,46,20,46,20,46,7.32E-07
2012,1,20,1,38,1,38,1,38,1,38,1.16E-06
2012,2,24,20,56,20,56,20,56,20,56,2.91E-07
2012,4,11,17,20,17,20,17,20,17,20,1.28E-07
2012,6,23,16,8,16,8,16,8,16,8,1.34E-07
2012,9,15,15,22,15,22,15,22,15,22,2.44E-07
2012,10,30,13,8,13,8,13,8,13,8,2.50E-07
2012,12,5,19,26,19,26,19,26,19,26,1.47E-07
2013,1,15,6,6,6,6,6,6,6,6,1.43E-06
2013,2,12,1,50,1,50,1,50,1,50,2.36E-07
2013,3,16,14,8,14,8,14,8,14,8,5.82E-07
2013,6,9,17,12,17,12,17,12,17,12,1.62E-07
2013,7,26,8,40,8,40,8,40,8,40,3.51E-07
2013,8,31,17,26,17,26,17,26,17,26,7.05E-07
2013,9,26,16,16,16,16,16,16,16,16,2.75E-07
2013,12,24,20,50,20,50,20,50,20,50,5.09E-07
2014,4,8,1,6,1,6,1,6,1,6,5.61E-07
2014,5,31,20,34,20,34,20,34,20,34,2.70E-07
2014,6,25,21,0,21,0,21,0,21,0,2.02E-07
2014,7,21,9,40,9,40,9,40,9,40,2.15E-07
2014,8,7,0,28,0,28,0,28,0,28,6.95E-07
2014,8,16,3,4,3,4,3,4,3,4,5.87E-07
2014,12,30,14,24,14,24,14,24,14,24,6.03E-07
2015,3,21,4,8,4,8,4,8,4,8,5.69E-07
2015,5,19,13,54,13,54,13,54,13,54,4.69E-07
2015,6,27,16,22,16,22,16,22,16,22,3.80E-07
2015,7,24,7,6,7,6,7,6,7,6,2.99E-07
2015,8,30,23,48,23,48,23,48,23,48,3.36E-07
2015,10,19,1,20,1,20,1,20,1,20,5.27E-07
2015,12,3,13,58,13,58,13,58,13,58,2.02E-07
2016,2,7,10,4,10,4,10,4,10,4,5.06E-07
2016,4,7,6,32,6,32,6,32,6,32,7.79E-07
2016,5,26,13,44,13,44,13,44,13,44,5.94E-07
2016,7,14,6,22,6,22,6,22,6,22,2.23E-07
2016,9,8,21,52,21,52,21,52,21,52,2.10E-07
2016,10,26,20,0,20,0,20,0,20,0,9.69E-08
2016,12,13,2,26,2,26,2,26,2,26,7.07E-08
2017,1,28,8,28,8,28,8,28,8,28,9.17E-08
2017,3,14,15,54,15,54,15,54,15,54,5.49E-08
2017,5,10,23,8,23,8,23,8,23,8,4.18E-08
2017,6,29,7,46,7,46,7,46,7,46,4.97E-08
